origen_id,origen_zona,destino_id,destino_zona,distancia_km,duracion_normal_min,duracion_hora_punta_min,duracion_hora_valle_min,ingreso_viaje_usd
24,Bloomingdale,244,Washington Heights South,6.413,15.4,19.2,12.8,29.23
24,Bloomingdale,246,West Chelsea/Hudson Yards,8.629,20.7,25.9,17.3,37.43
24,Bloomingdale,249,West Village,10.587,25.4,31.8,21.2,44.67
24,Bloomingdale,261,World Trade Center,14.246,34.2,42.7,28.5,58.21
24,Bloomingdale,262,Yorkville East,4.506,10.8,13.5,9.0,22.17
24,Bloomingdale,263,Yorkville West,3.813,9.2,11.4,7.6,19.61
41,Central Harlem,4,Alphabet City,11.032,26.5,33.1,22.1,46.32
41,Central Harlem,12,Battery Park,16.613,39.9,49.8,33.2,66.97
41,Central Harlem,13,Battery Park City,15.659,37.6,47.0,31.3,63.44
41,Central Harlem,24,Bloomingdale,1.47,3.5,4.4,2.9,10.94
41,Central Harlem,41,Central Harlem,0.0,0.0,0.0,0.0,5.5
41,Central Harlem,42,Central Harlem North,2.425,5.8,7.3,4.8,14.47
41,Central Harlem,43,Central Park,3.615,8.7,10.8,7.2,18.88
41,Central Harlem,45,Chinatown,14.081,33.8,42.2,28.2,57.6
41,Central Harlem,48,Clinton East,7.908,19.0,23.7,15.8,34.76
41,Central Harlem,50,Clinton West,7.922,19.0,23.8,15.8,34.81
41,Central Harlem,68,East Chelsea,10.285,24.7,30.9,20.6,43.55
41,Central Harlem,74,East Harlem North,1.518,3.6,4.6,3.0,11.12
41,Central Harlem,75,East Harlem South,2.071,5.0,6.2,4.1,13.16
41,Central Harlem,79,East Village,11.374,27.3,34.1,22.7,47.58
41,Central Harlem,87,Financial District North,15.5,37.2,46.5,31.0,62.85
41,Central Harlem,88,Financial District South,16.222,38.9,48.7,32.4,65.52
41,Central Harlem,90,Flatiron,10.708,25.7,32.1,21.4,45.12
41,Central Harlem,100,Garment District,8.776,21.1,26.3,17.6,37.97
41,Central Harlem,103,Governor's Island/Ellis Island/Liberty Island,20.588,49.4,61.8,41.2,81.68
41,Central Harlem,107,Gramercy,10.203,24.5,30.6,20.4,43.25
41,Central Harlem,113,Greenwich Village North,11.545,27.7,34.6,23.1,48.22
41,Central Harlem,114,Greenwich Village South,12.273,29.5,36.8,24.5,50.91
41,Central Harlem,116,Hamilton Heights,2.724,6.5,8.2,5.4,15.58
41,Central Harlem,120,Highbridge Park,6.444,15.5,19.3,12.9,29.34
41,Central Harlem,125,Hudson Sq,13.361,32.1,40.1,26.7,54.93
41,Central Harlem,127,Inwood,9.5,22.8,28.5,19.0,40.65
41,Central Harlem,128,Inwood Hill Park,9.759,23.4,29.3,19.5,41.61
41,Central Harlem,137,Kips Bay,9.161,22.0,27.5,18.3,39.4
41,Central Harlem,140,Lenox Hill East,4.555,10.9,13.7,9.1,22.36
41,Central Harlem,141,Lenox Hill West,4.813,11.6,14.4,9.6,23.31
41,Central Harlem,142,Lincoln Square East,5.949,14.3,17.8,11.9,27.51
41,Central Harlem,143,Lincoln Square West,6.215,14.9,18.6,12.4,28.5
41,Central Harlem,144,Little Italy/NoLiTa,13.051,31.3,39.2,26.1,53.79
41,Central Harlem,148,Lower East Side,12.75,30.6,38.3,25.5,52.68
41,Central Harlem,151,Manhattan Valley,2.139,5.1,6.4,4.3,13.42
41,Central Harlem,152,Manhattanville,1.74,4.2,5.2,3.5,11.94
41,Central Harlem,153,Marble Hill,11.346,27.2,34.0,22.7,47.48
41,Central Harlem,158,Meatpacking/West Village West,12.529,30.1,37.6,25.1,51.86
41,Central Harlem,161,Midtown Center,7.334,17.6,22.0,14.7,32.64
41,Central Harlem,162,Midtown East,7.025,16.9,21.1,14.0,31.49
41,Central Harlem,163,Midtown North,6.622,15.9,19.9,13.2,30.0
41,Central Harlem,164,Midtown South,9.008,21.6,27.0,18.0,38.83
41,Central Harlem,166,Morningside Heights,1.448,3.5,4.3,2.9,10.86
41,Central Harlem,170,Murray Hill,8.53,20.5,25.6,17.1,37.06
41,Central Harlem,186,Penn Station/Madison Sq West,9.639,23.1,28.9,19.3,41.16
41,Central Harlem,194,Randalls Island,3.723,8.9,11.2,7.4,19.27
41,Central Harlem,202,Roosevelt Island,4.879,11.7,14.6,9.8,23.55
41,Central Harlem,209,Seaport,14.924,35.8,44.8,29.8,60.72
41,Central Harlem,211,SoHo,13.116,31.5,39.3,26.2,54.03
41,Central Harlem,224,Stuy Town/Peter Cooper Village,10.115,24.3,30.3,20.2,42.93
41,Central Harlem,229,Sutton Place/Turtle Bay North,6.405,15.4,19.2,12.8,29.2
41,Central Harlem,230,Times Sq/Theatre District,7.693,18.5,23.1,15.4,33.96
41,Central Harlem,231,TriBeCa/Civic Center,14.329,34.4,43.0,28.7,58.52
41,Central Harlem,232,Two Bridges/Seward Park,12.539,30.1,37.6,25.1,51.9
41,Central Harlem,233,UN/Turtle Bay South,7.605,18.3,22.8,15.2,33.64
41,Central Harlem,234,Union Sq,10.365,24.9,31.1,20.7,43.85
41,Central Harlem,236,Upper East Side North,3.11,7.5,9.3,6.2,17.01
41,Central Harlem,237,Upper East Side South,5.143,12.3,15.4,10.3,24.53
41,Central Harlem,238,Upper West Side North,3.242,7.8,9.7,6.5,17.5
